,p,s,n,c,perturbation,run,mse,shd,precision,recall
0,50,0.2,10000,2,0.1,0,8.405873290625335e-06,0.5,0.9979757085020242,1.0
1,50,0.2,10000,2,0.1,1,1.0285496419974301e-05,0.5,0.9979757085020242,1.0
2,50,0.2,10000,2,0.1,2,7.744788989598709e-06,0.5,0.9981481481481482,1.0
3,50,0.2,10000,2,0.1,3,8.962396894791362e-06,0.5,0.9979253112033195,1.0
4,50,0.2,10000,2,0.1,4,1.4037976317320886e-05,0.0,1.0,1.0
5,50,0.2,10000,2,0.1,5,7.1344705655076665e-06,0.0,1.0,1.0
6,50,0.2,10000,2,0.1,6,1.0223096765503308e-05,0.5,0.9980842911877394,1.0
7,50,0.2,10000,2,0.1,7,9.728775654510425e-06,1.0,0.9958677685950413,1.0
8,50,0.2,10000,2,0.1,8,6.939872844648239e-06,0.5,0.9979919678714859,1.0
9,50,0.2,10000,2,0.1,9,1.0508220028543425e-05,0.5,0.998062015503876,1.0
10,50,0.2,30000,2,0.1,0,4.986668969072788e-06,1.0,0.9963636363636363,1.0
11,50,0.2,30000,2,0.1,1,3.0436904713513353e-06,0.0,1.0,1.0
12,50,0.2,30000,2,0.1,2,3.547015959664538e-06,1.0,0.9957983193277311,1.0
13,50,0.2,30000,2,0.1,3,3.224832803100746e-06,0.0,1.0,1.0
14,50,0.2,30000,2,0.1,4,2.0770705561272607e-06,0.0,1.0,1.0
15,50,0.2,30000,2,0.1,5,2.7607871118288974e-06,0.0,1.0,1.0
16,50,0.2,30000,2,0.1,6,1.95375280480429e-06,0.0,1.0,1.0
17,50,0.2,30000,2,0.1,7,2.792749467286848e-06,0.0,1.0,1.0
18,50,0.2,30000,2,0.1,8,2.4833599389872986e-06,0.0,1.0,1.0
19,50,0.2,30000,2,0.1,9,2.988924356985245e-06,0.0,1.0,1.0
20,50,0.3,10000,2,0.1,0,1.8443092721465952e-05,0.0,1.0,1.0
21,50,0.3,10000,2,0.1,1,1.9689568568915603e-05,1.0,0.9972375690607735,1.0
22,50,0.3,10000,2,0.1,2,0.0003062258457282579,2.0,0.9985795454545454,0.9957264957264957
23,50,0.3,10000,2,0.1,3,0.0002360288890583841,1.0,1.0,0.9972527472527473
24,50,0.3,10000,2,0.1,4,0.0002441018706720038,1.5,0.9985207100591715,0.9970501474926254
25,50,0.3,10000,2,0.1,5,0.001057382524142328,5.5,0.9945090729428674,0.9904632152588556
26,50,0.3,10000,2,0.1,6,0.002600261185366682,6.0,0.9973333333333334,0.9869451697127938
27,50,0.3,10000,2,0.1,7,0.007271618434996928,23.5,0.9916549312121822,0.9456233421750664
